title,artist,first
How Do You Catch A Girl,Sam The Sham & The Pharaohs,2012-01-28
Lil' Red Riding Hood,Sam The Sham & The Pharaohs,1998-02-08
Wooly Bully,Sam The Sham & The Pharaohs,1973-02-11
El Toro De Goro (The Peace Loving Bull),Sam The Sham & The Pharaohs [not on aircheck],1972-07-23
Wooly Bully,Sam The Sham & The Pharoahs,1985-09-29
Rubbin' On The Darned Old Thing,Sam Theard,1982-12-12
You Rascal You,Sam Theard,1982-12-12
The Story Of Santa Claus,Sam Ulano,1996-12-22
Mr. Jaws 2011,Sam Ward,2011-08-20
Hawaiian Hell,Samba Hell,1992-06-14
Arkansaw Shout,Sammie Lewis & The Bamville Syncopators,1982-12-26
Because Of You,Sammy Davis Jr.,1990-05-20
Because Of You - Part 2,Sammy Davis Jr.,1982-04-04
I Got Plenty Of Nuttin',Sammy Davis Jr.,2012-01-14
My Mother The Car,Sammy Davis Jr.,2015-09-19
Sonny Boy,Sammy Davis Jr.,2011-06-25
Talk To The Animals,Sammy Davis Jr.,2020-07-11
You Rascal You,Sammy Davis Jr.,1990-03-25
I'll Be Glad When You're Dead You Rascal You,"Sammy Davis, Jr.",1978-09-03
Inka Dinka Doo,"Sammy Davis, Jr.",1978-10-15
The Shelter Of Your Arms,"Sammy Davis, Jr.",1974-02-24
A Fine Romance,"Sammy Davis, Jr. & Carmen McRae",2015-03-14
"You Haven't Lived, Till You've Died In L.A.",Sammy Fain (& Paul Francis Webster),1977-11-13
You Haven't Lived Until You've Died In L.A.,Sammy Fain & Paul Francis Webster,1979-10-21
I Used To Work In Chicago,Sammy Kaye,1977-12-25
Modern Design,Sammy Kaye,1987-06-07
The Reluctant Dragon,Sammy Kaye,1981-06-07
Walkin' To Missouri,Sammy Kaye,1978-12-17
Red Silk Stockings And Green Perfume,Sammy Kaye & Don Cornell,1975-11-16
Chickery Chick,"Sammy Kaye orchestra & chorus w/ Nancy Norman, Billy Williams",1974-11-03
The Reluctant Dragon,Sammy Kaye/George Gingell (vocal)/Maury Cross (dragon),1975-06-08
Chickery Chick,Sammy Kaye/Nancy Norman/Billy Williams/Kaye Choir,1974-12-01
Pink Cadillac,Sammy Masters,2011-09-10
Everybody's Talkin' 'Bout Sammy,Sammy Morgan,1982-04-11
It's All About Me,Sammy Serious,2012-05-05
Binders Full Of Women,Samuel Stokes,2012-11-03
Frau Blucher,Samuel Stokes,2013-10-19
Here Comes Santa Claus (The Even More Theologically Confused Version),Samuel Stokes,2013-12-21
Here We Come A-Wassailing,Samuel Stokes,2012-12-15
Hoopy Frood,Samuel Stokes,2012-05-26
I Have A Bad Feeling About This,Samuel Stokes,2012-11-17
Kentaco Hut,Samuel Stokes,2014-09-13
Mama,Samuel Stokes,2021-05-08
Math Book Tragedy,Samuel Stokes,2014-08-30
Ode To Spot,Samuel Stokes,2025-09-13
Patrick McNally's,Samuel Stokes,2013-03-16
The Streets Of Cairo or The Poor Little Country Maid,Samuel Stokes,2013-07-27
The Want Some Rye Rag,Samuel Stokes,2014-05-17
What Does Spock Love? The Women,Samuel Stokes,2015-03-07
You Talk Entirely Far Too Much,Samuel Stokes,2012-05-12
Finicky Fidgety Fickle Easter Day,"Samuel Stokes, PhD",2019-04-20
Pancho The Parrot (medley),San Diego Wild Animal Park,1981-08-23
The Flower People,San Sebastian Strings w/ Rod McKuen,2020-05-30
Little Fat Policeman,Sandpiper Singers,1999-04-18
The Little Fat Policeman,Sandpiper Singers w/ Mitch Miller Orchestra,1974-07-14
Busy Busy Busy,Sandra Boynton & Kevin Kline,2015-03-21
Hello Melvin (This Is Mama),Sandra Gould,2017-05-27
Morris And Doris,Sandy & Louie,1976-08-22
The Boy From Mar-al-lago,Sandy & Richard Reccardi,2017-03-25
Because We Can,Sandy Andina,2018-10-13
Smoking,Sandy Baron,1990-05-27
Foolish Questions,Sandy Bradley & The Small Wonder String Band,1986-02-16
History Of Jazz,Sandy Jacobs,1978-09-24
Turbulence,Sandy Offenheim & Family,1983-03-20
The Air Battle,Sanford & Herman Hertz,1995-11-26
The Fool,Sanford Clark,1972-11-05
The Air Battle,Sanford Hertz,1995-11-05
On The Throne Again,Santa,2018-12-22
Do You Believe In Santa Claus?,Santa Claus (Thurl Ravenscroft) (Music by Billy May),2024-12-14
Santa Claus Hides In The Phonograph,Santa Claus Himself (Ernest Hare),1985-12-22
(Let's Talk To The Football Players),Santa Monica High School,1971-05-23
Evil Ways,Santana,1980-01-13
All Night Diner,Santo & Johnny,1971-07-11
Sleep Walk,Santo & Johnny,1972-03-26
"Elektronik, Supersonik",Santo Cilauro,2022-05-07
Ballad Of The Volunteer Firefighters,Sara Smith,1988-07-03
The 12 Days Of COVID,Sarah Hester Ross,2020-11-21
Princess Rap Battle: Cinderella Vs. Belle,Sarah Michelle Gellar & Whitney Avalon,2015-04-25
Le Blanc Doodie,Sarah Silverman & Laura Silverman,2011-01-22
Laundromat,Sarah Taylor,1984-03-25
I've Got Some Presents For Santa,Sarah Taylor & Bill Mumy,1999-12-19
Who Listens To Radio?,Sarah Vaughan & Quincy Jones,1999-10-03
No Smokes Blues,Sarah Vaughan w/ Dizzy Gillespie,1972-09-24
Make Yourself Comfortable,Sarah Vaughn,1972-03-19
No Smokes Blues,Sarah Vaughn w/ Dizzy Gillespie orchestra,1972-10-22
The French Brexit Song,"Sarah-Louise Young, Maxim Melton, Amanda Palmer",2019-11-02
"Nellie, The Nudist Queen",Sargent & Ross,1979-05-13
The Chickens Are In The Chimes,Sascha Burland & The Skipjack Choir,1997-12-21
The Chickens Are In The Chimes,Sascha Burland & The Skipjack Choir w/ Mason Adams,1985-12-22
Christmas Time In Hell,"Satan, The Dark Prince",2013-12-07
Frankenstein's Laundromat,Satanic Puppeteer Orchestra,2014-03-22
Werewolves Of London,Satanic Puppeteer Orchestra,2014-05-03
My Favorite Martian theme,Satellite Singers,1977-04-17
When I Was A Boy On Mars,Satellite Singers,1975-08-24
Bedtime Story,Saturday Night Live,1976-12-12
Gun Control,Saturday Night Live,1986-03-30
We Did Stop (The Government),Saturday Night Live,2013-10-12
Christmas Time For The Jews,Saturday Night Live f/ Darlene Love,2012-12-22
Emily Litella,Saturday Night Live f/ Gilda Radner,1993-03-14
The S.K. Blues,Saunders King & His Orchestra,1972-08-06
Christmas Wrapping,Save Ferris,2001-12-16
You Don't Know The Half Of It,Savoy & Brennan,2010-01-17
You Must Come Over,Savoy & Brennan,2021-02-27
Senegalese Stomp,Savoy Bearcats,1982-10-10
The Thing,Saymour Rechtzeit,1977-04-17
2 Days Monday,Scaffold,1976-10-17
Goodbat Nightman,Scaffold,1990-01-21
Ide B The First,Scaffold,1990-09-09
Long Strong Black Pudding,Scaffold,1982-08-08
Thank U Very Much,Scaffold,1981-11-22
Three Blind Jellyfish,Scaffold,1995-01-22
Virginity,Scaffold,1990-11-11
Wouldn't It Be Funny If You Didn't Have A Nose?,Scaffold,1981-01-25
Video Veggie,Scam,1982-09-05
Nothin' Rhymes With Lewinsky,Scambooty,1998-04-05
Quake Rap,Scared Boy,1990-11-18
Come To Australia,Scared Weird Little Guys,2024-08-24
Your Face,Scared Weird Little Guys,2015-08-01
Don't Wake the Baby,Scary Gary Alan,1994-03-20
I Got A Car Phone Now,Scary Gary Alan,1992-08-09
I Saw Her Derriere,Scary Gary Alan,1993-10-24
It's Just My Kids,Scary Gary Alan,1997-07-27
My Dog Ate Nolan Ryan,Scary Gary Alan,1999-08-15
My Pants Are Much Tighter,Scary Gary Alan,1993-09-19
Rappin' Computer,Scary Gary Alan,1992-04-12
Shop-Around Sue,Scary Gary Alan,1992-06-14
New Year's Resolutions,Scary Gary Alan [formerly Laszlo & Gary],1998-12-27
Call Of The Freaks,Scat Man Crothers,1980-07-20
Dead Man's Blues,Scat Man Crothers,1980-07-20
Do Something,Scat Man Crothers,1986-11-30
Everybody Wants To Be A Cat,Scat Man Crothers,1987-07-12
Hong Kong Phooey theme,Scat Man Crothers,1996-07-07
I Got Rhythm,Scat Man Crothers,1986-11-30
I'm The Scat Cat Man,Scat Man Crothers,1980-07-20
Mean Dog Blues,Scat Man Crothers,1980-07-20
"On The Banks Of The Wabash, Far Away",Scat Man Crothers,1980-07-20
Transfusion,Scat Man Crothers,1996-07-07
What's A Nice Kid Like You Doing In A Place Like This,Scat Man Crothers,1980-07-20
Hempcat Lullaby,Scat Schr&ouml;dinger,1997-01-05
Hempcat Lullaby,Scat Schrodinger,1997-02-02
Ghost Riders In The Sky,Scatman Crothers,1972-10-29
Hong Kong Phooey (Main Title),Scatman Crothers,1996-07-28
Riders In The Sky,Scatman Crothers,1973-03-04
Everybody Wants To Be A Cat,Scatman Crothers & Phil Harris,1991-08-25
Scatman,Scatman John,2021-09-25
Scatman John,Scatman John,1995-09-03
Scatman's World,Scatman John,1995-09-24
Down With The Ship (Slight Return),Scatterbrain,1991-04-28
Boo! I'm A Ghost,Schaffer The Darklord,2020-10-31
Cat People,Schaffer The Darklord,2025-09-20
Cat People 2020,Schaffer The Darklord,2020-08-08
House Tickle Pfeiffer,Schaffer The Darklord,2018-12-08
Sex Rhymes,Schaffer The Darklord,2016-02-27
Supervillain,Schaffer The Darklord,2022-03-05
The Rappist,Schaffer The Darklord,2012-08-18
The Way You Talk,Schaffer The Darklord,2013-01-19
On The Commode Again,Schittz & Giggles,2021-09-25
Punk Rock Dentist,Schlosser-Kammer Project,2023-01-21
Tuesday,Schlosser-Kammer Project,2016-03-19
Closer,Schmendryck K. Archer (Naked Rabbit),2000-10-08
Boom Boom Boomerang,Schmetterlinge,2017-02-18
Chicken Attack,Schmoyoho,2017-04-08
Winning (Charlie Sheen Sings),Schmoyoho,2011-03-26
Conjunction Junction,Schoolhouse Rock,1996-07-21
Kinky Kinda Cowboy,Schtillson & Govatenberg,1988-02-21
Kick In The Butt,Schwump,2000-02-20
The Gardener's Coming Today,Schwump,2002-08-18
TNG,Sci-Fried,2024-11-09
Get Me Outta Retail,Sci-Fried f/ Insane Ian,2017-06-10
I Can't Wrap,Scooter Picnic,2023-12-23
It's Frog Noticing Time,Scooter Picnic,2022-04-16
"Kyle, Are You Ian?",Scooter Picnic,2013-02-09
I'd Buy That For A Dollar,"Scooter Picnic (f/ the great Luke Ski, Lindsay Smith, & Carrie Dahlby)",2018-08-11
Getting HallowEven,Scooter Picnic f/ Ben Stahl,2013-10-19
Y2K Made My Penis Explode,Scorched Mirth Policy,1999-08-29
What Was In That Kiss,Scott Baio,1985-07-28
Religion and Politics,Scott Beach,1998-04-05
Religion And Politics Ya-Ta-Ta! Ya-Ta-Ta!,Scott Beach,1997-11-16
Trial Of The Century,Scott Beach,1995-07-16
A California Kind Of Guy,Scott California,1985-08-04
D-O-C-T-O-R D-E-M-E-N-T-O,"Scott Cardell from Tucson, AZ",1979-09-30
People Gone Die Special,Scott Darda,2010-01-03
I Came In My Best Sunday Suit,Scott Dare,1980-02-17
The Beatles' Barber,Scott Douglas,1994-02-06
Skiing,Scott Faulconbridge,2011-12-03
Sittin' U.S.A.,Scott Fivelsen,1985-06-30
Too Happy To Sing The Blues,Scott Fivelsen,1985-08-18
John Somebody,Scott Johnson,1988-09-11
Maple Leaf Rag,Scott Joplin,1974-04-07
The Wrong Song,Scott Katz,2000-01-09
Reaganomics Blues,Scott Kuehn,1983-01-30
Monkey Motel,Scott Laningham,1992-02-16
Moose in My House,Scott Laningham,1999-02-14
I Wanna Be A D.J.,Scott Matthews,1986-07-13
Blame It On El Ni&ntilde;o,Scott May,1998-03-15
Emeril Lagasse,Scott May,1999-10-10
San Francisco (Be Sure To Wear Flowers In Your Hair),Scott McKenzie,2006-05-21
Army Song,Scott Merrill,1980-04-20
Army Song from The Threepenny Opera,Scott Merrill,1980-09-14
Television Rap,Scott Paulsen,1985-08-25
Television Rap,Scott Paulson,1985-07-14
Animal Farm,Scott Pettersen,1984-12-09
That's Why They Call It Rock And Roll,Scott Pettersen,1985-11-03
Death By Phone,Scott Puffer,1981-06-21
Butthead Rap,Scott Shaw,1995-07-02
Truck Stop Food,Scott Shaw,1991-07-21
It's All Been Done Before,Scott Sheldon,2023-08-26
The Old Dark Lord Of Mordor,Scott Sheldon,2003-07-13
"I could be brown, I could be blue...",Scott Simson,2022-09-24
I Saw Daddy Kissing Santa Claus,"Scott, Troy, Jack, & Scott from Boston, MA",1989-12-24
Credit Card Christmas,Scottland,1989-12-10
"Nobody Likes Me, Everybody Hates Me",scottrsfooty,2017-04-29
That's Why They Call It Rock And Roll,Scotty & The Censor Busters,1985-11-10
Earthquake Song,Scotty & The Earthquakers,1988-07-24
The Lord Giveth - Uncle Sam Taketh Away,Scotty & The Tax Busters,1986-04-13
Bye Johnny,Scotty Chapin,1986-06-29
I Like The Sports,Scotty Iseri,2017-10-07
"Chattanooga, Nashville, Battlecreek Trek",Scotty Scott,2016-08-06
"You Tell Her, I Stutter",Scotty The Drifter,1975-02-16
Sad Ukulele,Scout Durwood,2020-08-29
Cheerio Cherry Lips Cheerio,Scrappy Lambert,1989-02-19
"Cheerio, Cheerry Lips, Cheerio",Scrappy Lambert,1981-07-12
Rain,Scrappy Lambert & Billy Hillpot,1976-01-25
Torturing The Dead,Scratching The Itch,2022-10-29
Alligator Wine,Screamin' Jay Hawkins,1994-08-21
Armpit #6,Screamin' Jay Hawkins,1999-01-17
Armpit No. 6,Screamin' Jay Hawkins,2018-08-04
Bite It,Screamin' Jay Hawkins,1993-04-25
Constipation Blues,Screamin' Jay Hawkins,1990-10-14
Feast Of The Mau Mau,Screamin' Jay Hawkins,1990-05-13
I Hear Voices,Screamin' Jay Hawkins,1990-10-28
I Love Paris,Screamin' Jay Hawkins,2018-06-23
I Put A Spell On You,Screamin' Jay Hawkins,1998-10-25
Little Demon,Screamin' Jay Hawkins,1986-03-16
There's Something Wrong With You,Screamin' Jay Hawkins,2021-10-16
Whistlin' Past The Graveyard,Screamin' Jay Hawkins,2017-10-21
My Dog Has Fleas,Screamin' Scott Simon,2024-09-21
Jack The Ripper,Screaming Lord Sutch,1989-02-19
She's Fallen In Love With The Monster Man,Screaming Lord Sutch,2017-10-28
Till The Following Night,Screaming Lord Sutch,1986-10-26
Til The Following Night,Screaming Lord Sutch & The Savages,1999-10-24
An Ode To  Weird Al,Screech & Bif,2025-05-31
Kathy's On The Roof,Screeching Weasel,2019-11-09
B-52's Christmas,Screwball Productions,1989-12-10
Barney On The 4th Of July,Screwball Productions,1990-02-25
Barney On The Fourth Of July,Screwball Productions,1990-02-11
Santa Bog,Screwball Productions,1990-12-16
The Guy From Panama,Screwball Productions,1990-01-14
Duck Butter,Scrooz Lewis,1996-08-04
She Said,Scrooz Lewis,1981-03-01
Underdog,Scrubs,2016-04-30
Dingle Balls,Scruff & Hoodat,1982-12-19
It's Still Weird Al To Me,Scum Of The Earth,1980-11-30
Crayfish,Scurvy Pirates,2023-05-27
Fight For Your Right To Plunder,Scurvy Pirates,2009-09-13
In Cuntry,Scuzz Twittley,2014-01-25
Keep Your Hands Off My PBR,Scuzz Twittly,2022-10-01
Bond Themes,Se&aacute;n Cullen,2002-01-06
Food Of Choice,Se&aacute;n Cullen,2025-09-06
The Beach Song,Se&aacute;n Cullen,2010-07-10
You're Just A Child,Se&aacute;n Cullen,2008-09-28
Deefeecult For You - Easy For Me,Se&ntilde;or Wences,1999-05-09
anniversary greeting,Seamonkey,2010-10-09
Are You Gonna Eat Yer Squirrel?,Seamonkey,2007-04-22
Breathalyzer,Seamonkey,2009-01-25
I Want In Your Pants,Seamonkey,2010-08-28
Moo Moo Cow,Seamonkey,2014-07-19
Sheep,Seamonkey,2017-04-29
Swine Flu!,Seamonkey,2009-05-31
Anorexiac,Seamonkey f/ Devo Spice,2024-11-16
Monkey Farts,Seamus Kennedy,2022-04-09
The Little Fly,Seamus Kennedy,2020-10-10
Rappin' Abbott & Costello,Sean & Bill,1994-06-12
Phantom Foreskin,Sean Altman's Jewmongous,2019-05-11
Dr. D Jingle,Sean Hale,1988-06-26
I Snorted My Cat,Sean Hale,1988-07-17
Lizard Heads,Sean Hale,1988-09-18
Bad Love Song,Sean Morey,2013-02-09
Dear Santa,Sean Morey,2024-12-21
Diarrheaville,Sean Morey,2000-06-04
Downtown,Sean Morey,1992-05-24
Eat A One-Percenter,Sean Morey,2014-04-12
Ghost Chickens In The Sky,Sean Morey,1998-06-14
Grandpa The Snow Man,Sean Morey,1999-01-03
"He Said, She Heard",Sean Morey,2013-09-14
Her Way ( The Anniversary Song ),Sean Morey,1999-02-28
Horizontal Surfaces!,Sean Morey,2018-08-11
Horny Porny Christmas,Sean Morey,1999-12-19
I Settled For You,Sean Morey,2020-02-08
I'm Dreaming Of A White Trash Christmas,Sean Morey,2000-12-10
It's Christmas!,Sean Morey,2009-12-13
Magic Mini-Van,Sean Morey,1999-11-07
My Valentine 'Ho,Sean Morey,2010-02-14
Screwing Around At Work,Sean Morey,2024-08-24
Sex Now,Sean Morey,2016-07-30
The A. D. D. Song,Sean Morey,2008-06-29
The Annoying Song,Sean Morey,1999-05-23
The Baby Song,Sean Morey,1999-11-21
The Back-Up Singers,Sean Morey,2002-02-03
The Fertilizer,Sean Morey,2010-06-26
The Man Song,Sean Morey,1999-11-21
The Man Who Doesn't Exist,Sean Morey,2002-01-20
The Man's Song,Sean Morey,1996-07-28
The Old Man Song,Sean Morey,2024-01-20
The Wayward Hair,Sean Morey,2011-09-10
You In The Morning,Sean Morey,2011-11-05
He Played The Yo Yo In Nashville,Sean Morton Downey,1976-01-18
Old Doggies,Sean Sheedy,1981-05-31
Wino Clementine,Sean Sheedy & Scott B. Hunter,1977-10-16
I Like Cheese,Seasonal Concepts,2024-08-03
Despair Tire,Seatrain,1991-05-19
My Ken-L-Ration,Seattle's Own Flyin' Saucers,1993-04-18
You Swam Away With My Heart,Seaweeds,1975-11-02
Like A Rolling Stone,Sebastian Cabot,1988-06-19
Burger In A Box,Second City,1983-04-17
Fotomat,Second City,1983-04-24
Messiah,Second City,1983-05-01
Skitzo,Secret Identity,1984-10-21
Super Hero Blues,Seduction Of The Innocent,1990-08-05
Let's Send Batman To Viet Nam,Seeds Of Euphoria,2017-06-17
A Festivus for the rest of us,Seinfeld clip,2015-12-19
Buster Move,Select Committee,1990-10-14
Wish I'd Stayed In The Wagon Yard,Sen. Robert Byrd,2010-07-10
Wild Thing,Senator Bobby,1999-02-14
Mellow Yellow,Senator Bobby & Senator McKinley,1989-01-29
Wild Thing,Senator Everett McKinley,1980-08-24
On The Automobile,Senator Ford,1980-07-06
A Ballad To George Wallace,Senator Roscoe Dean,2017-07-08
Just Right Likker,Senator Sam,1973-11-18
Mama Don't Allow It,Senor Lee,1977-07-31
Bears,Sergio,2001-01-07
Michael Closed The Bathroom Door,Sergio Wals,2008-10-05
The Toy Box Ate My Brother,Sergio Wals,2008-08-24
It's Another Joyful Elvis Presley Christmas,Serious Bros.,1988-12-25
Hobo,Seth & Willie Fred,2018-09-29
Puberty's Gonna Get Me,Seth Green (from Family Guy Live In Las Vegas),2018-09-29
Thunder Buddies Remix,Seth MacFarlane & Mark Wahlberg,2012-07-07
Dr. Demento  kids  logo,"Seth, Ethan, & Britt",2025-06-21
Anarchists' Song,Settlers,1981-06-21
What If I Do,Seven Gallon Jug Band,1982-03-07
Calliope Song,Seven Musical Magpies,1982-06-27
Lunatic's Lullaby,Seven Wild Men,1981-09-27
Anarchy In The U.K.,Sex Pistols,1977-03-20
God Save The Queen,Sex Pistols,1983-02-27
Pretty Vacant,Sex Pistols,1983-09-11
I Only Drink When I Parent,SexySexy Joe Lavelle,2023-06-17
Keep It Funky,SexySexy Joe Lavelle,2006-07-16
Grow For Me,"Seymour (Rick Moranis, from Little Shop Of Horrors)",1987-02-01
The Thing,Seymour Reichzeit,1975-08-03
Blue Christmas,Seymour Swine,1996-12-22
Blue Christmas,Seymour Swine & The Squeelers,1998-12-20
"Say Guy, Ya Wanna Boogie",Sgt. Charts,1979-07-22
"Say Guy, Ya Wanna Boogie",Sgt. Charts & His Teenage Zombie Drug Band,1975-12-28
"Say Guy, You Wanna Boogie",Sgt. Charts & His Teenage Zombie Drug Band,1975-03-02
"Say Guy, Ya Wanna Boogie",Sgt. Charts & His Teenage Zombies,1975-11-16
"Hey Guy, Ya Wanna Boogie",Sgt. Charts & The Teenage Zombie Drug Band,1975-02-02
"Say Guy, You Wanna Boogie",Sgt. Charts & The Teenage Zombie Drug Band,1975-10-12
"Say Guy, Ya Wanna Boogie?",Sgt. Charts & The Teenage Zombies,1976-04-18
"Say Guy, You Wanna Boogie",Sgt. Charts & The Teenage Zombies,1975-05-11
"Say Guy, Ya Wanna Boogie",Sgt. Charts Teenage Zombie Drug Band,1975-08-17
The Piano Has Been Drinking (Not Me),Sgt. Parader from the Florida Keys,1989-04-16
Mr. Bass Man,Sha Na Na,2024-09-28
No Coffee For The Zombies,Sha-Pink,2019-10-26
Y-Tel Presents,Shad O'Shea,1981-12-06
Y-Tell Presents,Shad O'Shea,1985-06-02
Bare She Is,Shad O'Shea & The Centerfolds,2020-05-09
Beer,Shad-Rapp,1996-10-06
Big Bucks,Shad-Rapp,1996-10-13
Get That Bass,Shad-Rapp,2017-07-15
Hope I Get A Buck,Shad-Rapp,2013-11-02
Shoot! Der It Is!,Shad-Rapp,1995-10-15
We Will Hunt You/We Are Da Hunters,Shad-Rapp,2000-11-19
Second Hand Smoke,Shaky Ground f/ Tobacco Ted,1997-06-29
Jungle Talk,Shane Kai Ray,2008-11-23
Day After Day,Shango [slows down at end],1998-04-26
Why Don't You Tell Me,Shank & Maydea,1972-08-27
Abergavenny,Shannon,1970-11-26
Jingle Bells,Shannon Quartet,1975-12-21
Red Wing,Shannon Quartet,1974-08-25
Shoot Pass Slam,Shaquille O'Neal,2008-03-09
Some Things For Christmas,Shari Lewis & Lambchop,1995-12-10
"Some Things For Xmas (A Snake, Some Mice, Some Glue And A Hole Too)",Shari Lewis & Lambchop,1998-12-13
Just A Banana,Sharon  Disco  Dunn w/ The Johnny Baltimore Band,1977-03-27
Big Bulbs,Sharon Jones & The Dap-Kings,2020-12-19
Fish In The Dish,Sharon Jones & The Dap-Kings,2024-01-13
Old Sow Song,"Sharon, Lois & Bram",1981-08-09
Hunting Tigers Out In Indiah,Sharp & Flat,1982-02-14
Cut Every Corner,"Shary Bobbins, Bart, Lisa, Wiggum, Apu, Homer & Marge (from The Simpsons)",1999-11-28
A Boozehound Named Barney,"Shary Bobbins, Lisa, Bart, Barney, Moe & Homer (from The Simpsons)",2000-03-12
"Fuck, I Stepped In Shit",Shat,2006-05-09
I'd Rather Have Fish,Shattered Nerve Endings,1989-10-08
Your Love Is Fatal,Shattered Nerve Endings,1990-05-13
Rappin' Duke,Shaun Brown,1995-11-05
Rebel Rebel,Shaun Cassidy,1980-09-28
Wasp,Shaun Cassidy,1980-09-28
Uncle Josh Gets A Computer,Shawn Borri,2023-11-11
Rappin' Duke,Shawn Brown,1990-06-24
Santa Came Too Soon,Shawn Plank,2020-12-12
The Socks Song,Shay Butler (f/ Emily Valentine & Duke Westlake),2013-11-02
"Baby, It's Cold Outside",She & Him,2012-11-24
Goofy Footer Hodad,Shean Jenkins,1971-07-25
38-24-35,Sheb Wooley,1975-09-07
I Can't Believe You're Mine,Sheb Wooley,2025-03-08
Luke The Spook,Sheb Wooley,1975-12-14
Pygmy Love,Sheb Wooley,1973-01-07
Santa And The Purple People Eater,Sheb Wooley,1990-12-16
That's My Pa,Sheb Wooley,1992-06-21
The Ballad Of Jim And Tammy,Sheb Wooley,1987-08-09
The Love-In,Sheb Wooley,1998-10-18
The Purple People Eater,Sheb Wooley,1999-01-17
Purple People Eater,Sheb Wooley (w/ brief,1971-05-16
Llama Serenade,Shebel & Larson,1999-05-09
Llama Serenade '85,Shebel & Larson w/ Martin Denny,1985-04-07
Car Phone,Sheeler & Sheeler,1998-07-19
David Duke Is Coming To Town,Sheeler & Sheeler,1991-12-15
My Last Cigarette,Sheila Hancock,2007-05-13
25 Minutes To Go,Shel Silverstein,2017-05-06
26 Second Song,Shel Silverstein,1999-08-08
A Boy Named Sue,Shel Silverstein,1985-11-10
A Front Row Seat To Hear Ole Johnny Sing,Shel Silverstein,2021-04-10
Beans Taste Fine,Shel Silverstein,2015-10-17
Bear In There,Shel Silverstein,1999-08-08
Boa Constrictor,Shel Silverstein,1999-05-30
Boy Named Sue,Shel Silverstein,2024-08-17
Broken Down Mama,Shel Silverstein,1978-09-24
Bury Me In My Shades,Shel Silverstein,1997-11-02
Captain Blackbeard Did What?,Shel Silverstein,2012-02-04
Clarence,Shel Silverstein,1987-11-29
Crowded Bathtub,Shel Silverstein,1987-11-29
Crowded Tub,Shel Silverstein,1988-10-09
Diet Song,Shel Silverstein,1998-01-11
Don't Give A Dose,Shel Silverstein,1974-06-09
Don't Give A Dose To The One You Love Most,Shel Silverstein,1991-11-17
Ever Lovin' Machine,Shel Silverstein,2022-04-23
Everybody's Makin' It Big,Shel Silverstein,1976-01-04
Everybody's Makin' It Big But Me,Shel Silverstein,1975-01-05
Folk Singer's Blues,Shel Silverstein,2016-08-13
Freakin' At The Freakers' Ball,Shel Silverstein,1997-02-02
Good Whiskey,Shel Silverstein,2015-08-08
Goodnight Little House Plant,Shel Silverstein,1978-10-29
Have Another Espresso,Shel Silverstein,1997-05-18
I Got Stoned And I Missed It,Shel Silverstein,1999-04-04
I Love My Right Hand,Shel Silverstein,2020-03-21
I Once Knew A Woman,Shel Silverstein,2024-09-07
I'm So Good That I Don't Have To Brag,Shel Silverstein,1984-09-02
"Ickle Me, Pickle Me, Tickle Me Too",Shel Silverstein,2024-08-17
If The World Was Crazy,Shel Silverstein,2015-05-02
It Does Not Pay To Be Hip,Shel Silverstein,1999-06-06
Jimmy Jet And His TV Set,Shel Silverstein,1988-10-09
Liz,Shel Silverstein,1975-09-21
Never Bite A Married Woman On The Thigh,Shel Silverstein,1999-06-06
Peanut Butter Sandwich,Shel Silverstein,1978-07-30
Plastic,Shel Silverstein,1999-05-30
Polly In A Porny,Shel Silverstein,1974-12-15
Quaaludes Again,Shel Silverstein,1984-09-16
Sahra Cynthia Sylvia Stout Would Not Take The Garbage Out,Shel Silverstein,1999-06-06
Sarah Cynthia Sylvia Stout Would Not Take The Garbage Out,Shel Silverstein,1985-08-04
Scum Of The Earth,Shel Silverstein,1978-08-13
Show It At The Beach,Shel Silverstein,1999-05-02
Someone At The Baby,Shel Silverstein,1978-10-08
Someone Ate The Baby,Shel Silverstein,1999-08-08
Stacey Brown's Got Two,Shel Silverstein,1993-01-17
Stacy Brown Got Two,Shel Silverstein,1999-11-07
The Cat And The Rat,Shel Silverstein,1996-08-04
The Dope,Shel Silverstein,2024-03-16
The Father Of A Boy Named Sue,Shel Silverstein,1999-05-30
The Great Conch Train Robbery,Shel Silverstein,1980-06-08
The Slitheree-Dee,Shel Silverstein,1999-08-08
The Smoke-Off,Shel Silverstein,1999-12-26
They Held Me Down,Shel Silverstein,1978-08-13
Twenty-Six Second Song,Shel Silverstein,1974-08-25
You Ain't Here,Shel Silverstein,1999-05-30
You're Always Welcome At Our House,Shel Silverstein,2001-10-21
Broken Down Mama,Shel Silverstein & The Red Onion Jazz Band,1999-05-30
Broken Down Mama,Shel Silverstein w/ The Red Onion Jazz Band,1979-06-03
When You Smoke Tobacco,Sheldon & James,1975-10-26
Crawl Out Through The Fallout,Sheldon Allman,1991-02-17
Crawl Out Through The Fallout Baby,Sheldon Allman,1975-02-09
Radioactive Mama,Sheldon Allman,2015-01-24
Children's Day At The Morgue,Sheldon Allman [misannounced as Thurl Ravenscroft],2024-10-19
The Merry Little Minuet,Sheldon Harnick,2003-04-20
Wrestlers Just Wanna Bust Heads,Shell Shock Shannon & His Hollywood Manglers,1985-12-01
